variant,parent
41356846,41356845
86120752,86120751
4280259,4280258
6150045,6150044
14558128,14558127
81480460,81480461
23995347,23995346
23995348,23995346
89631140,89631139
89631141,89631139
89631142,89631139
89631143,89631139
89631144,89631139
89631145,89631139
89631146,89631139
31833039,31833038
85289966,85289965
78193832,78193831
91152257,91152256
91152258,91152256
55878038,55878039
82044279,82044280
57728571,57728570
70095155,70095154
10443958,10443957
1546124,1546123
46986415,46986414
46986416,46986414
46986417,46986414
46986418,46986414
46986419,46986414
36996508,46986414
46986420,46986414
46986421,46986414
38033122,38033121
38033123,38033121
38033124,38033121
38033125,38033121
38033126,38033121
43892409,43892408
98502114,98502113
98502115,98502113
16195943,16195942
1861630,1861629
83965311,83965310
84257639,84257640
46173681,46173680
80193356,80193355
94145022,94145021
20366275,20366274
94977270,94977269
21844577,21844576
58932616,58932615
89943724,89943723
20721929,20721928
40044919,40044918
31887906,31887905
68881650,68881649
4376659,4376658
40542826,40542825
31764354,31764353
78661339,78661338
81172177,81172176
73134081,73134082
5043012,5043010
5043011,5043010
99267151,99267150
45231178,45231177
15341823,15341822
81439174,81439173
6368039,6368038
69140099,69140098
73642297,73642296
52038442,52038441
59438931,59438930
62015409,62015408
60643554,60643553
36354008,36354007
78437365,78437364
31122091,31122090
18144506,18144507
11050417,11050416
11050418,11050416
11050419,11050416
65741787,65741786
77585514,77585513
37390590,37390589
40640058,40640057
40640059,40640057
97590748,97590747
60764583,60764582
90330454,90330453
87322378,87322377
7852510,7852509
68540058,68540059
32012842,32012841
83764718,83764719
83011277,83011278
32003339,32003338
84013238,84013237
90590304,90590303
10000001,10000000
10000002,10000000
16178682,16178681
16178683,16178681
19230407,19230408
14470847,14470846
29843092,14470846
29843093,14470846
29843094,14470846
39751093,39751094
61307543,61307542
42035045,42035044
27911550,27911549
24433921,24433920
27847700,24094653
74677423,74677422
74677424,74677422
74677425,74677422
74677426,74677422
74677427,74677422
64335804,64335805
88264979,88264978
83555667,83555666
41463182,41463181
23401840,23401839
73915053,73915052
73915054,73915052
73915055,73915052
63288574,63288573
10000021,10000020
10000022,10000020
47852925,47852924
18807108,18807109
44508095,44508094
41209828,41209827
70781053,70781052
70781054,70781052
70781055,70781052
90740330,90740329
84080938,84080939
10000011,10000010
10000012,10000010
41462084,41462083
49791928,49791927
15259704,15259703
10802916,10802915
35686187,35686188
32448766,32448765
80604091,80604092
56043446,56043447
14898067,14898066
56993277,56993276
77754945,77754944
57116034,57116033
91998120,91998119
91998121,91998119
